concept,uri,lib,format
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q762,Leonardo da Vinci,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5592,Michelangelo,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5582,Vincent van Gogh,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5593,Pablo Picasso,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5577,Salvador Dalí,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5598,Rembrandt,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5597,Raphael,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q4724,Le Corbusier,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q7241,Rabindranath Tagore,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5580,Albrecht Dürer,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5432,Francisco de Goya,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5588,Frida Kahlo,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5586,Katsushika Hokusai,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q297,Diego Velázquez,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5589,Henri Matisse,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5599,Peter Paul Rubens,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5603,Andy Warhol,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q296,Claude Monet,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q23380,Jean Auguste Dominique Ingres,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q37693,Paul Gauguin,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q35548,Paul Cézanne,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q41264,Johannes Vermeer,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q301,El Greco,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q41406,Edvard Munch,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5669,Sandro Botticelli,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q41513,William Blake,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q40599,Édouard Manet,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q42207,Caravaggio,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q37571,Jackson Pollock,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q134958,Taras Shevchenko,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q39931,Pierre-Auguste Renoir,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q33477,Eugène Delacroix,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q75698,Samuel Finley Breese Morse,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q46373,Edgar Degas,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q34661,Gustav Klimt,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q47551,Titian,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q47842,Empress Dowager Cixi,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q7814,Giotto,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q152384,Joan Miró,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q83155,Jacques-Louis David,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q43270,Pieter Brueghel the Elder,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q61064,Wassily Kandinsky,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q7724,August Strindberg,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q82445,Henri de Toulouse-Lautrec,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q93284,Marc Chagall,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q130531,Hieronymus Bosch,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q41554,Nicolas Poussin,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q209615,Francisco de Zurbarán,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q102272,Jan van Eyck,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q7836,René Magritte,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q120993,Amedeo Modigliani,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q128027,Giorgio Vasari,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q131405,Louis Daguerre,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5912,Marcel Duchamp,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q150679,Anthony van Dyck,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q104884,Caspar David Friedrich,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q172911,Ilya Repin,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q192062,Bartolomé Esteban Murillo,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q9319,Jacopo Tintoretto,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q159758,J. M. W. Turner,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q46408,Georgia O'Keeffe,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q160538,Gian Lorenzo Bernini,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q173223,Mary Cassatt,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q44007,Paul Klee,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5811,Masaccio,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q151803,Piet Mondrian,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q34618,Gustave Courbet,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q130777,Kazimir Malevich,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q134741,Camille Pissarro,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q171344,William Hogarth,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q6682,Gustave Doré,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5664,Fra Angelico,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q9440,Paolo Veronese,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q212657,Artemisia Gentileschi,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5681,Andrea Mantegna,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q153793,Georges Braque,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q48319,Hans Holbein the Younger,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q297838,Jusepe de Ribera,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q175130,Alfred Sisley,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q179126,John Ruskin,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q191423,Domenico Ghirlandaio,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q184212,Théodore Géricault,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q182664,Canaletto,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q200798,Utagawa Hiroshige,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q44032,Egon Schiele,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q34013,Georges Seurat,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q167654,Frans Hals,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q170076,Jean Dubuffet,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q156386,Henri Rousseau,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q182882,John James Audubon,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5822,Piero della Francesca,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q214565,Beatrix Potter,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q148475,Jean-Baptiste Camille Corot,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q181568,Ivan Ayvazovsky,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q17169,Giovanni Bellini,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q146691,Alphonse Mucha,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q154842,Max Ernst,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q186748,Dante Gabriel Rossetti,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q183221,Jean-Antoine Watteau,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q193064,Ivan Shishkin,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q8459,Giorgione,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q152245,"Albert, Prince Consort",wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q183458,Andrea del Verrocchio,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q192720,Thomas Gainsborough,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q15792,Duccio di Buoninsegna,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q68631,Rogier van der Weyden,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q46139,Man Ray,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q7751,Giuseppe Arcimboldo,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q192496,Robert Fulton,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5827,Pietro Perugino,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q133600,Banksy,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q151759,Karl Friedrich Schinkel,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q159297,John Constable,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q160149,Mark Rothko,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q105320,Berthe Morisot,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q194402,Joshua Reynolds,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q44054,Franz Marc,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q154340,Francis Bacon,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q186202,Giovanni Battista Tiepolo,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q213163,Élisabeth Louise Vigée Le Brun,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q148458,Jean-François Millet,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q204138,Viktor Mikhailovich Vasnetsov,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q15790,Cimabue,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q208993,Nicholas Roerich,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q483992,William-Adolphe Bouguereau,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q229272,Ernst Ludwig Kirchner,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q187506,Honoré Daumier,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q189117,Jan Matejko,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q192488,Paolo Uccello,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q191748,Lucas Cranach the Elder,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5571,Andrea del Sarto,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q207758,Ivan Kramskoi,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q151573,Paul Signac,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q187310,Carl Larsson,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5594,Antonello da Messina,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q212499,Jean-Léon Gérôme,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q151097,Henry Moore,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q154448,Victor Vasarely,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q155626,John Singer Sargent,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q180932,François Boucher,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q7803,Bronzino,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q236038,Sofonisba Anguissola,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q151152,Juan Gris,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q151679,Roy Lichtenstein,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q157194,Alberto Giacometti,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q203643,James McNeill Whistler,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q4768,Karl Bryullov,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q127171,Jean-Honoré Fragonard,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q333453,Raja Ravi Varma,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q207298,Frédéric Bazille,wikidata
