concept,uri,lib,format
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q8457,Antonio da Correggio,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q127017,Vasily Vereshchagin,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q150312,Amrita Sher-Gil,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q485635,Keith Haring,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q156622,Giorgio de Chirico,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q217128,Valentin Serov,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q211356,Isaac Levitan,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q152788,Emil Nolde,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q310924,Alan Bean,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q153746,Albrecht Altdorfer,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q159606,John Everett Millais,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q109061,Guido Reni,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q205148,Filippo Lippi,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q214074,Claude Lorrain,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q271676,Charles Le Brun,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q153739,Jean Arp,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q154260,Oskar Kokoschka,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q221043,Simone Martini,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q217434,Grant Wood,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q110228,Vasily Surikov,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q315237,Vasily Perov,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q203371,Georges de La Tour,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q205863,Jan Steen,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q203401,Edward Hopper,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q206820,Anders Zorn,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q272045,Kitagawa Utamaro,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q295144,Gustave Caillebotte,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q123071,Arnold Böcklin,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q153104,Otto Dix,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q153965,Joseph Beuys,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q170068,Akseli Gallen-Kallela,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q155407,Jean-Michel Basquiat,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q157183,Fernand Léger,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q106851,Hans Memling,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q229351,Tamara de Lempicka,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q203828,Gustave Moreau,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q33978,Robert Delaunay,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q33981,August Macke,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q207929,Pontormo,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q208125,Lorenzo Ghiberti,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q211763,William Holman Hunt,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q212600,Eugène Louis Boudin,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q309759,Edward Lear,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q152233,El Lissitzky,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q154338,Matthias Grünewald,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q154349,Odilon Redon,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q156272,André Derain,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q107194,George Grosz,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q109540,Wilhelm Busch,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q207447,Jean-Baptiste-Siméon Chardin,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q7031,Luca Signorelli,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q271884,Norman Rockwell,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q132305,Willem de Kooning,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q290407,Gentile Bellini,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q298703,E. E. Cummings,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q151580,Alexander Calder,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q152797,Umberto Boccioni,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q160422,Theo van Doesburg,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q108301,Maurice Utrillo,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q311398,Jean Fouquet,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q212754,John William Waterhouse,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q214564,Ferdinand Hodler,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q240526,Lawrence Alma-Tadema,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q116728,"Victoria, Princess Royal",wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q164683,Max Beckmann,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q151836,Friedensreich Hundertwasser,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q310025,Théodore Rousseau,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q154083,Henry van de Velde,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q255828,Pieter Breughel the Younger,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q157321,Francis Picabia,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q158062,Max Liebermann,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q264193,Émile Bernard,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q223725,Francesco Hayez,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q26408,Pierre Bonnard,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q76718,Anton Raphael Mengs,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q211562,Ambrogio Lorenzetti,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q214905,Thomas Eakins,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q7824,Annibale Carracci,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q9348,Parmigianino,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q296265,Filippino Lippi,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q123098,Angelica Kauffmann,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q168704,Niki de Saint Phalle,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q209050,Jan Brueghel the Elder,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q272877,Fernando Botero,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q164979,Carl Spitzweg,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q154335,Yves Klein,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q159409,Louise Bourgeois,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q160141,Chaïm Soutine,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q45205,Raoul Dufy,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q80442,Robert Campin,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q213612,Jacob van Ruisdael,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q214666,Léon Bakst,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q241098,Maurice de Vlaminck,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q353628,Arkhip Kuindzhi,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q310715,Henri Fantin-Latour,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q252357,Charles-François Daubigny,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5581,Vittore Carpaccio,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q5591,Pinturicchio,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q214043,John Bauer,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q232391,Natalia Goncharova,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q7780,Fra Bartolomeo,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q215100,Mikhail Vrubel,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q440369,Maurice Denis,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q344838,Winslow Homer,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q310437,Alexandre Cabanel,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q123740,Félix Vallotton,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q170071,Josef Albers,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q311082,Pisanello,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q154594,Lucian Freud,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q155057,Jasper Johns,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q156889,Suzanne Valadon,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q158840,James Ensor,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q160448,László Moholy-Nagy,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q215305,Giulio Romano,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q231121,Yayoi Kusama,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q312631,Alexander Rodchenko,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q315647,David Alfaro Siqueiros,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q334001,Thomas Cole,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q76829,Alexander Ivanov,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q48514,Sesshū Tōyō,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q214062,Joseph Wright of Derby,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q215251,Hugo van der Goes,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q270658,Jacob Jordaens,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q236050,Lavinia Fontana,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q164696,Hans Baldung Grien,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q351746,Joaquín Sorolla,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q122382,Henry Fuseli,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q157610,Lovis Corinth,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q160252,Frederic Leighton,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q381248,James Tissot,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q314548,Gerard van Honthorst,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q558522,M. F. Husain,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q316325,Andrew Wyeth,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q332041,Jose Clemente Orozco,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q333323,Pietro da Cortona,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q77132,Albert Bierstadt,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q31523,Yosa Buson,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q207755,Émile Friant,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q236985,Helene Schjerfbeck,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q318427,Mikhail Nesterov,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q241732,Rosa Bonheur,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q319854,Nicolai Abildgaard,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q320118,Domenichino,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q164358,Robert Rauschenberg,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q170339,Lucas Cranach the Younger,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q153920,Aristide Maillol,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q280851,Piero di Cosimo,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q469439,Shitao,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q216406,Edward Burne-Jones,wikidata
actant_painter,https://www.wikidata.org/w/api.php?action=wbgetentities&format=json&ids=Q313275,Boris Kustodiev,wikidata
