painter,painterLabel,exhibition_count,exhibitions
http://www.wikidata.org/entity/Q158062,Max Liebermann,1,Liebermann Villa
http://www.wikidata.org/entity/Q454670,Eva Bonnier,2,"Prince Eugens Waldemarsudde, Thiel Gallery"
http://www.wikidata.org/entity/Q436844,Armand Guillaumin,4,"The Impressionists in private, 3rd impressionist exhibition, 1st impressionist exhibition, 5th impressionist exhibition"
http://www.wikidata.org/entity/Q658862,Jean-François Raffaëlli,3,"Salon of 1877, Salon of 1885, Salon of 1886"
http://www.wikidata.org/entity/Q1355820,Federico Zandomeneghi,1,“Impressionisti Segreti” in Palazzo Bonaparte
http://www.wikidata.org/entity/Q975168,Janis Rozentāls,1,Europeana 280
http://www.wikidata.org/entity/Q37693,Paul Gauguin,14,"6th impressionist exhibition, Europeana 280, In Colour: Polychrome Sculpture in France 1850-1910, Le Cubisme, Art 3. Works from the collection 1814-1950, Armory Show, Paul Gauguin's exhibit at Les XX, 1889, Mästerverk i Nationalmusei samlingar, Le ""Talisman"" de Sérusier, une prophétie de la couleur, Trésors impressionnistes, Private Collections: A Journey of the Impressionists to the Wild Animals, From Cranach to Monet. Highlights of the Perez Simon Collection, Le modèle noir de Géricault à Matisse, “Impressionisti Segreti” in Palazzo Bonaparte"
http://www.wikidata.org/entity/Q964608,Lucien Pissarro,1,Monet Collector
http://www.wikidata.org/entity/Q7127637,Ernest Rouart,1,"Exposition Les Rouart, de l’impressionnisme au réalisme magique"
http://www.wikidata.org/entity/Q365068,Peder Severin Krøyer,11,"The Mirror of Nature. Nordic Landscape Painting 1840-1910, Europeana 280, Berlin, Guildhall, Exposition Universelle of 1900, Hirschsprung Collection, Charlottenborg Spring Exhibition, Esposizione internazionale d'arte di Venezia, Salon of 1902, The Dance of Life – The collection from antiquity to 1950, Sense and Sensibility. Nordic painting and sculpture from the collections"
http://www.wikidata.org/entity/Q175130,Alfred Sisley,13,"2nd impressionist exhibition, Salon of 1870, Discovering the Impressionists: Paul Durand-Ruel and the New Painting, Exposition Universelle of 1900, 3rd impressionist exhibition, 1st impressionist exhibition, Salon of 1866, Trésors impressionnistes, Mästerverk i Nationalmusei samlingar, Von Dürer bis van Gogh - Sammlung Bührle trifft Wallraf, The Impressionists in private, “Impressionisti Segreti” in Palazzo Bonaparte, Hôtel de Caumont"
http://www.wikidata.org/entity/Q157610,Lovis Corinth,1,Passions and Fervour. The Art of Powerful Emotions
http://www.wikidata.org/entity/Q451771,Amadeo de Souza Cardoso,1,Europeana 280
http://www.wikidata.org/entity/Q1606016,Henri Rouart,1,1st impressionist exhibition
http://www.wikidata.org/entity/Q2076864,Henry Moret,2,"Exposition L'impressionnisme d'après Pont-Aven, Exposition La vague japoniste, les peintres en Bretagne"
http://www.wikidata.org/entity/Q40599,Édouard Manet,40,"Exposition Universelle of 1889, Salon des Refusés, Art Institute of Chicago, Exposition Universelle of 1900, Bellagio Hotel & Casino, Georges Petit, Edouard Manet, Discovering the Impressionists: Paul Durand-Ruel and the New Painting, Le modèle noir de Géricault à Matisse, Wynn Las Vegas, Thannhauser Galleries, Salon of 1861, Salon of 1865, Manet: the Inventor of Modernity, Picasso and the Masters, Impressionnisme. Les origines, 1859-1869, Baudelaire, Hommage à Manet, Manet, Salon of 1864, Salon of 1868, Salon of 1869, Salon of 1881, Salon of 1872, Salon of 1879, Salon of 1875, Salon of 1877, Europeana 280, National Gallery, The H. O. Havemeyer Collection, Mästerverk i Nationalmusei samlingar, Salon of 1870, Salon of 1873, Monet Collector, The Dance of Life – The collection from antiquity to 1950, Art 3. Works from the collection 1814-1950, The Impressionists in private, Seeing Nature: Landscape Masterworks from the Paul G. Allen Family Collection, Trésors impressionnistes, “Impressionisti Segreti” in Palazzo Bonaparte"
http://www.wikidata.org/entity/Q296,Claude Monet,36,"Claude Monet (1840-1926), 3rd impressionist exhibition, 4th impressionist exhibition, 2nd impressionist exhibition, 1st impressionist exhibition, Europeana 280, Discovering the Impressionists: Paul Durand-Ruel and the New Painting, 1917, The Emil Bührle Collection, Monet & Architecture, Around Impressionism: French Paintings from the National Gallery of Art, Masterpieces from the National Gallery of Art, Monet Collector, Mästerverk i Nationalmusei samlingar, Carnegie Institute, galerie Durand-Ruel, Trésors impressionnistes, Monet: Places, Impressionism: The Art of Landscape, “Impressionisti Segreti” in Palazzo Bonaparte, Jubilary art exhibition 1898 at the Künstlerhaus, Seeing Nature: Landscape Masterworks from the Paul G. Allen Family Collection, The Dance of Life – The collection from antiquity to 1950, Art 3. Works from the collection 1814-1950, The Impressionists in private, 7th impressionist exhibition, Miro, Monet, Matisse - The Nahmad Collection, Private Collections: A Journey of the Impressionists to the Wild Animals, From Cranach to Monet. Highlights of the Perez Simon Collection, 1939 New York World's Fair, Salon of 1865, Bernheim-Jeune, Denver Art Museum, rue Le Peletier, Museum Barberini, Claude Monet"
http://www.wikidata.org/entity/Q39931,Pierre-Auguste Renoir,63,"Museum of Fine Arts Boston, Metropolitan Museum of Art, Museum of Modern Art, 1939 New York World's Fair, Beaux-Arts de Paris, Baltimore Museum of Art, National Gallery of Art, Art Institute of Chicago, Paul Durand-Ruel, Palais de Beaulieu, Musée de l'Orangerie, Tate, Philadelphia Museum of Art, Paul Rosenberg, Salon d'Automne, Hayward Gallery, Stedelijk Museum Amsterdam, National Gallery of Canada, Yale University Art Gallery, Salon of 1868, 1st impressionist exhibition, Salon of 1879, Salon of 1890, Duveen Galleries, Fort Worth Community Arts Center, Discovering the Impressionists: Paul Durand-Ruel and the New Painting, Los Angeles County Museum of Art, Kimbell Art Museum, Toledo Museum of Art, New Orleans Museum of Art, Legion of Honor, Galeries nationales du Grand Palais, Century Association, Wildenstein & Company Building, M. Knoedler & Co., 3rd impressionist exhibition, Renoir, Bignou Gallery, 2nd impressionist exhibition, Apollinaire critique d'art, Monet Collector, Mästerverk i Nationalmusei samlingar, Kyoto National Museum, galerie Durand-Ruel, Salon of 1865, Lisbon, Thyssen-Bornemisza Museum, Tokyo Metropolitan Art Museum, Scottish National Gallery, National Museum of Art, Osaka, National Art Center, Tokyo, Kyoto Municipal Museum of Art, The Dance of Life – The collection from antiquity to 1950, Art 3. Works from the collection 1814-1950, Miro, Monet, Matisse - The Nahmad Collection, Private Collections: A Journey of the Impressionists to the Wild Animals, Trésors impressionnistes, The Impressionists in private, From Cranach to Monet. Highlights of the Perez Simon Collection, “Impressionisti Segreti” in Palazzo Bonaparte, Salon of 1880, A Very Private Collection: Janice H. Levin's Impressionist Pictures, In Colour: Polychrome Sculpture in France 1850-1910"
http://www.wikidata.org/entity/Q34013,Georges Seurat,5,"8th impressionist exhibition, Private Collections: A Journey of the Impressionists to the Wild Animals, Félix Fénéon, Seurat, Seurat Paintings and Drawings"
http://www.wikidata.org/entity/Q295144,Gustave Caillebotte,12,"“Impressionisti Segreti” in Palazzo Bonaparte, 4th impressionist exhibition, 2nd impressionist exhibition, 5th impressionist exhibition, Museum Barberini, Private Collections: A Journey of the Impressionists to the Wild Animals, Monet Collector, The Impressionists in private, 3rd impressionist exhibition, Art Institute of Chicago, Galeries nationales du Grand Palais, Impressionist exhibition"
http://www.wikidata.org/entity/Q472237,Nikolaos Gyzis,1,Europeana 280
http://www.wikidata.org/entity/Q346483,Maurice Galbraith Cullen,3,"Canadian War Memorials Exhibition, Burlington House, 1919, Canadian War Memorials Exhibition, 1920, Canadian War Memorials Exhibition, New York, 1919"
http://www.wikidata.org/entity/Q1837855,Darío de Regoyos,1,Vestigis del modernisme. Interioritats quotidianes
http://www.wikidata.org/entity/Q2693890,Laura Knight,2,"Canadian War Memorials Exhibition, Burlington House, 1919, Canadian War Memorials Exhibition, New York, 1919"
http://www.wikidata.org/entity/Q351746,Joaquín Sorolla,2,"Europeana 280, Salon of 1895"
http://www.wikidata.org/entity/Q173223,Mary Cassatt,6,"4th impressionist exhibition, 5th impressionist exhibition, Discovering the Impressionists: Paul Durand-Ruel and the New Painting, Exposition de Tableaux, Pastels et Gravures de Mary Cassatt, The Impressionists in private, Mary Cassatt: Modern Woman"
http://www.wikidata.org/entity/Q177978,Henri-Jean Guillaume Martin,2,"Salon of 1899, Salon of 1895"
http://www.wikidata.org/entity/Q464300,Eva Gonzalès,3,"The Impressionists in private, “Impressionisti Segreti” in Palazzo Bonaparte, Salon of 1879"
http://www.wikidata.org/entity/Q134741,Camille Pissarro,21,"Hermitage Foundation, 3rd impressionist exhibition, 4th impressionist exhibition, 1st impressionist exhibition, Discovering the Impressionists: Paul Durand-Ruel and the New Painting, Exposition Universelle of 1900, 7th impressionist exhibition, Mästerverk i Nationalmusei samlingar, Trésors impressionnistes, Pioneering Modern Painting: Cézanne and Pissarro 1865 – 1885, Pissarro the first Impressionist, Impressionist Still Life, Camille Pissarro, 1830-1903, The Object as Subject: Still Life Paintings from the Seventeenth to the Twentieth Century, Salon of 1859, Private Collections: A Journey of the Impressionists to the Wild Animals, Monet Collector, The Impressionists in private, From Cranach to Monet. Highlights of the Perez Simon Collection, “Impressionisti Segreti” in Palazzo Bonaparte, 2nd impressionist exhibition"
http://www.wikidata.org/entity/Q105320,Berthe Morisot,12,"The Dance of Life – The collection from antiquity to 1950, 3rd impressionist exhibition, 1st impressionist exhibition, 5th impressionist exhibition, Discovering the Impressionists: Paul Durand-Ruel and the New Painting, Art 3. Works from the collection 1814-1950, The Impressionists in private, An Audience with Art. The National Museum at the Queen Sonja Art Stable, Trésors impressionnistes, Monet Collector, “Impressionisti Segreti” in Palazzo Bonaparte, Berthe Morisot"
http://www.wikidata.org/entity/Q983262,Corneliu Baba,1,Europeana 280
http://www.wikidata.org/entity/Q43139260,Willem Van Der Does,3,"Hotel des Indes, Art Stage Singapore, G. Kolff & Co."
http://www.wikidata.org/entity/Q725681,Ramon Casas,7,"National Exhibition of Fine Arts, Sala Peres, Maria Cladellas legacy exhibition, Vestigis del modernisme. Interioritats quotidianes, World's Fair, Paris Salon, Pontevedra Museum"
http://www.wikidata.org/entity/Q72510,Albert Anker,1,Salon of 1868
http://www.wikidata.org/entity/Q123740,Félix Vallotton,6,"Salon of 1891, 1917, Le modèle noir de Géricault à Matisse, Toiles de guerre, The Moon: From real travel to imaginary journeys, Félix Fénéon"
http://www.wikidata.org/entity/Q652975,László Mednyánszky,1,Europeana 280
http://www.wikidata.org/entity/Q3749980,Francesco Filippini,10,"Brescia, Esposizione generale italiana, La Permanente, Esposizione Nazionale di Milano 1881, Villa Cascina Sforzesca, Triennial Italian Fine Arts Exhibition of 1894, 1st Triennial Exhibition of Fine Arts in Milan, Neve, Anima bianca, Francesco Filippini e la pittura bresciana dell’Ottocento (Musei Civici di Arte e Storia di Brescia), Esposizione della Società Promotrice di Belle Arti di Torino 1885"
http://www.wikidata.org/entity/Q397123,Ștefan Luchian,1,Europeana 280
http://www.wikidata.org/entity/Q454321,Nicolae Grigorescu,1,Europeana 280
http://www.wikidata.org/entity/Q155626,John Singer Sargent,2,"Salon of 1882, Salon of 1884"
http://www.wikidata.org/entity/Q445891,Frits Thaulow,5,"The Dance of Life – The collection from antiquity to 1950, The Mirror of Nature. Nordic Landscape Painting 1840-1910, Art 3. Works from the collection 1814-1950, Olaf Schous gaver til Nasjonalgalleriet : Nasjonalgalleriet 14. november 1987-7. februar 1988, Nasjonalgalleriet viser norsk malerkunst fra 1800-årene"
http://www.wikidata.org/entity/Q310715,Henri Fantin-Latour,14,"Salon of 1861, Salon of 1865, Salon of 1864, Salon of 1872, Salon of 1870, Salon of 1880, Salon of 1877, Salon of 1885, Salon of 1897, Salon of 1878, Salon of 1887, 1873 Vienna World's Fair, Paris Around 1882: The Development of Modern Painting in France and Yamamoto Hōsui, Le modèle noir de Géricault à Matisse"
http://www.wikidata.org/entity/Q737635,Childe Hassam,1,1917
http://www.wikidata.org/entity/Q207298,Frédéric Bazille,4,"Salon of 1868, Salon of 1870, Le modèle noir de Géricault à Matisse, The Impressionists in private"
http://www.wikidata.org/entity/Q253446,Anna Ancher,3,"Exposition Universelle of 1889, Charlottenborg, Europeana 280"
http://www.wikidata.org/entity/Q46373,Edgar Degas,25,"3rd impressionist exhibition, 4th impressionist exhibition, 2nd impressionist exhibition, 1st impressionist exhibition, 5th impressionist exhibition, 8th impressionist exhibition, Salon of 1867, Discovering the Impressionists: Paul Durand-Ruel and the New Painting, National Gallery of Art, J. Paul Getty Museum, Gazette des beaux-arts, musée des impressionnismes Giverny, Virginia Museum of Fine Arts, galerie Durand-Ruel, Salon of 1868, Salon of 1870, Le modèle noir de Géricault à Matisse, Mästerverk i Nationalmusei samlingar, Salon of 1865, The Dance of Life – The collection from antiquity to 1950, Art 3. Works from the collection 1814-1950, Private Collections: A Journey of the Impressionists to the Wild Animals, The Impressionists in private, In Colour: Polychrome Sculpture in France 1850-1910, Japanomania in the North 1875-1918"
http://www.wikidata.org/entity/Q212600,Eugène Louis Boudin,6,"Salon of 1881, Salon of 1876, Salon of 1888, Monet Collector, The Impressionists in private, Trésors impressionnistes"
http://www.wikidata.org/entity/Q206820,Anders Zorn,4,"The Mirror of Nature. Nordic Landscape Painting 1840-1910, Salon of 1888, The Dance of Life – The collection from antiquity to 1950, Sense and Sensibility. Nordic painting and sculpture from the collections"
http://www.wikidata.org/entity/Q2663470,Vilhelms Purvītis,1,Europeana 280
http://www.wikidata.org/entity/Q9029249,Marià Pidelaserra Brias,1,Maria Cladellas legacy exhibition
http://www.wikidata.org/entity/Q212754,John William Waterhouse,1,Royal Academy Summer Exhibition
http://www.wikidata.org/entity/Q742322,Pál Szinyei Merse,1,Europeana 280
http://www.wikidata.org/entity/Q5589,Henri Matisse,14,"Elise S. Haas: Building a Modern Art Collection, Matisse/Diebenkorn, Salon d'automne de 1905, Armory Show, The Armory Show at 100, Twentieth-Century Modern Masters: The Jacques and Natasha Gelman Collection, Apollinaire, le regard du poète, Miro, Monet, Matisse - The Nahmad Collection, Private Collections: A Journey of the Impressionists to the Wild Animals, The Dance of Life – The collection from antiquity to 1950, Art 3. Works from the collection 1814-1950, Le Cubisme, Le modèle noir de Géricault à Matisse, An Audience with Art. The National Museum at the Queen Sonja Art Stable"
